C-16 POPULATION BY MOTHER TONGUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table,State,District,Town,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,code,,tongue,,P,M,F,P,M,F,P,M,F
,,,,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,29,000,000000,KARNATAKA,007027, Kuruba/Kurumba,601,304,297,0,0,0,601,304,297
C0116,29,000,000000,KARNATAKA,007041, Prakritha/Prakritha Bhasha,366,184,182,0,0,0,366,184,182
C0116,29,000,000000,KARNATAKA,007999,7 Others,5013,2484,2529,0,0,0,5013,2484,2529
C0116,29,000,000000,KARNATAKA,008000,8 KASHMIRI ,2555,1478,1077,0,0,0,2555,1478,1077
C0116,29,000,000000,KARNATAKA,008005, Kashmiri,2538,1472,1066,0,0,0,2538,1472,1066
C0116,29,000,000000,KARNATAKA,008010, Kishtwari,1,0,1,0,0,0,1,0,1
C0116,29,000,000000,KARNATAKA,008019, Dardi,4,2,2,0,0,0,4,2,2
C0116,29,000,000000,KARNATAKA,008999,8 Others,12,4,8,0,0,0,12,4,8
C0116,29,000,000000,KARNATAKA,009000,9 KONKANI,430922,210457,220465,0,0,0,430922,210457,220465
C0116,29,000,000000,KARNATAKA,009011, Konkani,423846,206971,216875,0,0,0,423846,206971,216875
C0116,29,000,000000,KARNATAKA,009013, Kudubi/Kudumbi,600,303,297,0,0,0,600,303,297
C0116,29,000,000000,KARNATAKA,009016, Malwani,9,5,4,0,0,0,9,5,4
C0116,29,000,000000,KARNATAKA,009020, Nawait,5766,2802,2964,0,0,0,5766,2802,2964
C0116,29,000,000000,KARNATAKA,009028, Gorboli/Goru/Gorwani,21,12,9,0,0,0,21,12,9
C0116,29,000,000000,KARNATAKA,009999,9 Others,680,364,316,0,0,0,680,364,316
C0116,29,000,000000,KARNATAKA,010000,10 MAITHILI ,1647,1007,640,0,0,0,1647,1007,640
C0116,29,000,000000,KARNATAKA,010008, Maithili,1623,989,634,0,0,0,1623,989,634
C0116,29,000,000000,KARNATAKA,010011, Purbi Maithili,1,1,0,0,0,0,1,1,0
C0116,29,000,000000,KARNATAKA,010013, Thati,22,16,6,0,0,0,22,16,6
C0116,29,000,000000,KARNATAKA,010014, Tharu,1,1,0,0,0,0,1,1,0
C0116,29,000,000000,KARNATAKA,011000,11 MALAYALAM,434105,219516,214589,0,0,0,434105,219516,214589
C0116,29,000,000000,KARNATAKA,011016, Malayalam,433409,219172,214237,0,0,0,433409,219172,214237
C0116,29,000,000000,KARNATAKA,011023, Pania,10,2,8,0,0,0,10,2,8
C0116,29,000,000000,KARNATAKA,011026, Yerava,647,318,329,0,0,0,647,318,329
C0116,29,000,000000,KARNATAKA,011999,11 Others,39,24,15,0,0,0,39,24,15
C0116,29,000,000000,KARNATAKA,012000,12 MANIPURI ,3800,2306,1494,0,0,0,3800,2306,1494
C0116,29,000,000000,KARNATAKA,012003, Manipuri,3770,2285,1485,0,0,0,3770,2285,1485
C0116,29,000,000000,KARNATAKA,012999,12 Others,30,21,9,0,0,0,30,21,9
C0116,29,000,000000,KARNATAKA,013000,13 MARATHI ,827184,417203,409981,0,0,0,827184,417203,409981
C0116,29,000,000000,KARNATAKA,013004, Are,4425,2059,2366,0,0,0,4425,2059,2366
C0116,29,000,000000,KARNATAKA,013060, Koli,8,4,4,0,0,0,8,4,4
C0116,29,000,000000,KARNATAKA,013071, Marathi,822356,414937,407419,0,0,0,822356,414937,407419
C0116,29,000,000000,KARNATAKA,013999,13 Others,395,203,192,0,0,0,395,203,192
C0116,29,000,000000,KARNATAKA,014000,14 NEPALI ,15334,8889,6445,0,0,0,15334,8889,6445
C0116,29,000,000000,KARNATAKA,014011, Nepali,15323,8884,6439,0,0,0,15323,8884,6439
C0116,29,000,000000,KARNATAKA,014999,14 Others,11,5,6,0,0,0,11,5,6
C0116,29,000,000000,KARNATAKA,015000,15 ODIA ,47907,32279,15628,0,0,0,47907,32279,15628
C0116,29,000,000000,KARNATAKA,015006, Bhatri,2,0,2,0,0,0,2,0,2
C0116,29,000,000000,KARNATAKA,015007, Bhuiya/Bhuyan[Ori],1,1,0,0,0,0,1,1,0
C0116,29,000,000000,KARNATAKA,015043, Odia,47840,32246,15594,0,0,0,47840,32246,15594
C0116,29,000,000000,KARNATAKA,015058, Sambalpuri,6,2,4,0,0,0,6,2,4
C0116,29,000,000000,KARNATAKA,015999,15 Others,58,30,28,0,0,0,58,30,28
C0116,29,000,000000,KARNATAKA,016000,16 PUNJABI ,24896,13175,11721,0,0,0,24896,13175,11721
C0116,29,000,000000,KARNATAKA,016002, Bagri,3,2,1,0,0,0,3,2,1
C0116,29,000,000000,KARNATAKA,016038, Punjabi,24829,13140,11689,0,0,0,24829,13140,11689
C0116,29,000,000000,KARNATAKA,016999,16 Others,64,33,31,0,0,0,64,33,31
C0116,29,000,000000,KARNATAKA,017000,17 SANSKRIT ,1016,535,481,0,0,0,1016,535,481
C0116,29,000,000000,KARNATAKA,017002, Sanskrit,1016,535,481,0,0,0,1016,535,481
C0116,29,000,000000,KARNATAKA,018000,18 SANTALI ,235,148,87,0,0,0,235,148,87
C0116,29,000,000000,KARNATAKA,018011, Mahili,9,4,5,0,0,0,9,4,5
C0116,29,000,000000,KARNATAKA,018040, Santali,225,144,81,0,0,0,225,144,81
C0116,29,000,000000,KARNATAKA,018999,18 Others,1,0,1,0,0,0,1,0,1
C0116,29,000,000000,KARNATAKA,019000,19 SINDHI,16868,8305,8563,0,0,0,16868,8305,8563
C0116,29,000,000000,KARNATAKA,019002, Bhatia,15,7,8,0,0,0,15,7,8
C0116,29,000,000000,KARNATAKA,019008, Kachchhi,1989,967,1022,0,0,0,1989,967,1022
C0116,29,000,000000,KARNATAKA,019014, Sindhi,14856,7326,7530,0,0,0,14856,7326,7530
C0116,29,000,000000,KARNATAKA,019999,19 Others,8,5,3,0,0,0,8,5,3
C0116,29,000,000000,KARNATAKA,020000,20 TAMIL ,1777550,897305,880245,0,0,0,1777550,897305,880245
C0116,29,000,000000,KARNATAKA,020009, Kaikadi,241,118,123,0,0,0,241,118,123
C0116,29,000,000000,KARNATAKA,020015, Korava,4616,2316,2300,0,0,0,4616,2316,2300
C0116,29,000,000000,KARNATAKA,020027, Tamil,1772547,894789,877758,0,0,0,1772547,894789,877758
C0116,29,000,000000,KARNATAKA,020999,20 Others,146,82,64,0,0,0,146,82,64
C0116,29,000,000000,KARNATAKA,021000,21 TELUGU ,1951506,989768,961738,0,0,0,1951506,989768,961738
C0116,29,000,000000,KARNATAKA,021046, Telugu,1949606,988809,960797,0,0,0,1949606,988809,960797
C0116,29,000,000000,KARNATAKA,021048, Vadari,28,13,15,0,0,0,28,13,15
C0116,29,000,000000,KARNATAKA,021999,21 Others,1872,946,926,0,0,0,1872,946,926
C0116,29,000,000000,KARNATAKA,022000,22 URDU,4476220,2273721,2202499,0,0,0,4476220,2273721,2202499
C0116,29,000,000000,KARNATAKA,022015, Urdu,4475953,2273577,2202376,0,0,0,4475953,2273577,2202376
C0116,29,000,000000,KARNATAKA,022016, Bhansari,12,8,4,0,0,0,12,8,4
